Copycat (1995),01-Jan-1995
Seven (Se7en) (1995),01-Jan-1995
"Usual Suspects, The (1995)",14-Aug-1995
From Dusk Till Dawn (1996),05-Feb-1996
Rumble in the Bronx (1995),23-Feb-1996
Batman Forever (1995),01-Jan-1995
Strange Days (1995),01-Jan-1995
"Professional, The (1994)",01-Jan-1994
Pulp Fiction (1994),01-Jan-1994
"Mask, The (1994)",01-Jan-1994
Carlito's Way (1993),01-Jan-1993
True Romance (1993),01-Jan-1993
Fargo (1996),14-Feb-1997
Striptease (1996),28-Jun-1996
"Godfather, The (1972)",01-Jan-1972
Bound (1996),04-Oct-1996
Kansas City (1996),16-Aug-1996
Reservoir Dogs (1992),01-Jan-1992
GoodFellas (1990),01-Jan-1990
"Godfather: Part II, The (1974)",01-Jan-1974
"Sting, The (1973)",01-Jan-1973
Batman Returns (1992),01-Jan-1992
Sneakers (1992),01-Jan-1992
Grosse Pointe Blank (1997),11-Apr-1997
Batman & Robin (1997),20-Jun-1997
Heat (1995),01-Jan-1995
Donnie Brasco (1997),28-Feb-1997
Hoodlum (1997),22-Aug-1997
L.A. Confidential (1997),01-Jan-1997
"Devil's Advocate, The (1997)",01-Jan-1997
Deceiver (1997),01-Jan-1997
Midnight in the Garden of Good and Evil (1997),01-Jan-1997
Cop Land (1997),01-Jan-1997
Desperate Measures (1998),30-Jan-1998
Kiss the Girls (1997),01-Jan-1997
U Turn (1997),01-Jan-1997
Playing God (1997),01-Jan-1997
Jackie Brown (1997),01-Jan-1997
Desperate Measures (1998),30-Jan-1998
Incognito (1997),01-Jan-1997
Serial Mom (1994),01-Jan-1994
Batman (1989),01-Jan-1989
Some Like It Hot (1959),01-Jan-1959
Bonnie and Clyde (1967),01-Jan-1967
Things to Do in Denver when You're Dead (1995),02-Feb-1996
"Young Poisoner's Handbook, The (1995)",23-Feb-1996
Cliffhanger (1993),01-Jan-1993
Romeo Is Bleeding (1993),01-Jan-1993
Laura (1944),01-Jan-1944
Sleepers (1996),18-Oct-1996
"Grifters, The (1990)",01-Jan-1990
Once Upon a Time in America (1984),01-Jan-1984
Touch of Evil (1958),01-Jan-1958
M (1931),01-Jan-1931
Red Corner (1997),01-Jan-1997
Devil in a Blue Dress (1995),01-Jan-1995
Hard Target (1993),01-Jan-1993
Menace II Society (1993),01-Jan-1993
Mulholland Falls (1996),26-Apr-1996
Freeway (1996),23-Aug-1996
"Big Lebowski, The (1998)",26-Dec-1997
Twilight (1998),30-Jan-1998
Wild Things (1998),14-Mar-1998
Keys to Tulsa (1997),11-Apr-1997
2 Days in the Valley (1996),27-Sep-1996
Crossfire (1947),01-Jan-1947
Amateur (1994),01-Jan-1994
Curdled (1996),27-Sep-1996
Albino Alligator (1996),17-Jan-1997
C'est arrivé près de chez vous (1992),01-Jan-1992
"Newton Boys, The (1998)",14-Mar-1998
They Made Me a Criminal (1939),01-Jan-1939
Best Men (1997),01-Sep-1997
Hackers (1995),01-Jan-1995
Hard Eight (1996),28-Feb-1997
Original Gangstas (1996),10-May-1996
Cyclo (1995),02-Aug-1996
Switchblade Sisters (1975),17-May-1975
"Letter From Death Row, A (1998)",01-Feb-1998
Once Were Warriors (1994),01-Jan-1994
Purple Noon (1960),28-Jun-1960
Kiss of Death (1995),01-Jan-1995
Guilty as Sin (1993),01-Jan-1993
Night Falls on Manhattan (1997),16-May-1997
"Big Bang Theory, The (1994)",01-Jan-1994
Gridlock'd (1997),29-Jan-1997
Set It Off (1996),25-Sep-1996
Gang Related (1997),01-Jan-1997
New York Cop (1996),01-Jan-1996
"Innocent Sleep, The (1995)",27-Jun-1997
Jason's Lyric (1994),01-Jan-1994
Angel on My Shoulder (1946),01-Jan-1946
"Thieves (Voleurs, Les) (1996)",25-Dec-1996
Dead Presidents (1995),01-Jan-1995
Carpool (1996),23-Aug-1996
Killer: A Journal of Murder (1995),06-Sep-1996
Mad Dog Time (1996),08-Nov-1996
New Jersey Drive (1995),01-Jan-1995
Twin Town (1997),30-May-1997
Clean Slate (Coup de Torchon) (1981),01-Jan-1981
Lashou shentan (1992),01-Jan-1992
City of Industry (1997),14-Mar-1997
He Walked by Night (1948),01-Jan-1948
Deceiver (1997),01-Jan-1997
"Truth or Consequences, N.M. (1997)",02-May-1997
King of New York (1990),01-Jan-1990
Normal Life (1996),25-Oct-1996
Hana-bi (1997),20-Mar-1998
MURDER and murder (1996),20-Jun-1997
