From Dusk Till Dawn (1996),05-Feb-1996
Robert A. Heinlein's The Puppet Masters (1994),01-Jan-1994
Heavy Metal (1981),08-Mar-1981
"Frighteners, The (1996)",19-Jul-1996
Alien (1979),01-Jan-1979
Army of Darkness (1993),01-Jan-1993
Psycho (1960),01-Jan-1960
"Shining, The (1980)",01-Jan-1980
Evil Dead II (1987),01-Jan-1987
Young Frankenstein (1974),01-Jan-1974
Bram Stoker's Dracula (1992),01-Jan-1992
"Nightmare on Elm Street, A (1984)",01-Jan-1984
Jaws (1975),01-Jan-1975
Scream (1996),20-Dec-1996
"Devil's Advocate, The (1997)",01-Jan-1997
Alien: Resurrection (1997),01-Jan-1997
"Prophecy II, The (1998)",16-Jan-1998
Deep Rising (1998),30-Jan-1998
Tales From the Crypt Presents: Demon Knight (1995),01-Jan-1995
Serial Mom (1994),01-Jan-1994
Thinner (1996),25-Oct-1996
Tales from the Crypt Presents: Bordello of Blood (1996),19-Jul-1996
Children of the Corn: The Gathering (1996),01-Jan-1996
"American Werewolf in London, An (1981)",01-Jan-1981
Amityville 1992: It's About Time (1992),01-Jan-1992
Amityville 3-D (1983),01-Jan-1983
Amityville: A New Generation (1993),01-Jan-1993
Amityville II: The Possession (1982),01-Jan-1982
"Amityville Horror, The (1979)",01-Jan-1979
"Amityville Curse, The (1990)",01-Jan-1990
"Birds, The (1963)",01-Jan-1963
"Blob, The (1958)",01-Jan-1958
"Body Snatcher, The (1945)",01-Jan-1945
Burnt Offerings (1976),01-Jan-1976
Carrie (1976),01-Jan-1976
"Omen, The (1976)",01-Jan-1976
Jaws 2 (1978),01-Jan-1978
Jaws 3-D (1983),01-Jan-1983
Lord of Illusions (1995),01-Jan-1995
Interview with the Vampire (1994),01-Jan-1994
Mary Shelley's Frankenstein (1994),01-Jan-1994
Stephen King's The Langoliers (1995),01-Jan-1995
Tales from the Hood (1995),01-Jan-1995
Village of the Damned (1995),01-Jan-1995
Wes Craven's New Nightmare (1994),01-Jan-1994
Wolf (1994),01-Jan-1994
Body Snatchers (1993),01-Jan-1993
Hellraiser: Bloodline (1996),08-Mar-1996
Night of the Living Dead (1968),01-Jan-1968
"Fog, The (1980)",01-Jan-1980
"Howling, The (1981)",01-Jan-1981
Alien 3 (1992),01-Jan-1992
Blood For Dracula (Andy Warhol's Dracula) (1974),01-Jan-1974
Audrey Rose (1977),01-Jan-1977
Blood Beach (1981),01-Jan-1981
Body Parts (1991),01-Jan-1991
Body Snatchers (1993),01-Jan-1993
Bride of Frankenstein (1935),01-Jan-1935
Candyman (1992),01-Jan-1992
Cat People (1982),01-Jan-1982
"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)",01-Jan-1922
Wishmaster (1997),01-Jan-1997
I Know What You Did Last Summer (1997),17-Oct-1997
Bad Moon (1996),01-Nov-1996
"Addiction, The (1995)",01-Jan-1995
"Prophecy, The (1995)",01-Jan-1995
Castle Freak (1995),01-Jan-1995
Beyond Bedlam (1993),01-Jan-1993
Relative Fear (1994),01-Jan-1994
In the Mouth of Madness (1995),01-Jan-1995
Candyman: Farewell to the Flesh (1995),01-Jan-1995
Halloween: The Curse of Michael Myers (1995),01-Jan-1995
Loch Ness (1995),01-Jan-1995
Braindead (1992),01-Jan-1992
Bad Taste (1987),01-Jan-1987
Amityville: Dollhouse (1996),01-Jan-1996
April Fool's Day (1986),01-Jan-1986
"Believers, The (1987)",01-Jan-1987
Nosferatu a Venezia (1986),01-Jan-1986
Phantoms (1998),01-Jan-1998
Scream 2 (1997),01-Jan-1997
"Craft, The (1996)",26-Apr-1996
Dracula: Dead and Loving It (1995),01-Jan-1995
Cronos (1992),01-Jan-1992
"Relic, The (1997)",17-Jan-1997
Cemetery Man (Dellamorte Dellamore) (1994),12-Apr-1996
Night Flier (1997),06-Feb-1998
"Machine, The (1994)",01-Jan-1994
Nightwatch (1997),22-Apr-1997
"Fear, The (1995)",01-Jan-1995
Spirits of the Dead (Tre passi nel delirio) (1968),01-Jan-1968
Nightwatch (1997),22-Apr-1997
