Lone Star (1996),21-Jun-1996
2001: A Space Odyssey (1968),01-Jan-1968
Basic Instinct (1992),01-Jan-1992
Amadeus (1984),01-Jan-1984
Event Horizon (1997),01-Jan-1997
Absolute Power (1997),14-Feb-1997
L.A. Confidential (1997),01-Jan-1997
"Devil's Advocate, The (1997)",01-Jan-1997
Midnight in the Garden of Good and Evil (1997),01-Jan-1997
Murder at 1600 (1997),18-Apr-1997
Lost Highway (1997),21-Feb-1997
Cop Land (1997),01-Jan-1997
Conspiracy Theory (1997),08-Aug-1997
"Game, The (1997)",01-Jan-1997
U Turn (1997),01-Jan-1997
"Man Who Knew Too Little, The (1997)",01-Jan-1997
Fallen (1998),16-Jan-1998
"Client, The (1994)",01-Jan-1994
Radioland Murders (1994),01-Jan-1994
Mission: Impossible (1996),22-May-1996
Vertigo (1958),01-Jan-1958
"Maltese Falcon, The (1941)",01-Jan-1941
"Thin Man, The (1934)",01-Jan-1934
Dial M for Murder (1954),01-Jan-1954
"Third Man, The (1949)",01-Jan-1949
"Big Sleep, The (1946)",01-Jan-1946
"Daytrippers, The (1996)",21-Mar-1997
Boxing Helena (1993),01-Jan-1993
"Hour of the Pig, The (1993)",01-Jan-1993
True Crime (1995),01-Jan-1995
Rear Window (1954),01-Jan-1954
Spellbound (1945),01-Jan-1945
Laura (1944),01-Jan-1944
Chinatown (1974),01-Jan-1974
Arsenic and Old Lace (1944),01-Jan-1944
I Know What You Did Last Summer (1997),17-Oct-1997
Congo (1995),01-Jan-1995
Devil in a Blue Dress (1995),01-Jan-1995
Manhattan Murder Mystery (1993),01-Jan-1993
Rising Sun (1993),01-Jan-1993
Power 98 (1995),17-May-1996
Diva (1981),01-Jan-1981
That Darn Cat! (1997),14-Feb-1997
"Big Lebowski, The (1998)",26-Dec-1997
Wild Things (1998),14-Mar-1998
Charade (1963),01-Jan-1963
Heaven's Prisoners (1996),10-May-1996
That Darn Cat! (1997),14-Feb-1997
Gaslight (1944),01-Jan-1944
Just Cause (1995),01-Jan-1995
Six Degrees of Separation (1993),01-Jan-1993
Chungking Express (1994),16-Feb-1996
Stalker (1979),01-Jan-1979
Flesh and Bone (1993),01-Jan-1993
Before and After (1996),23-Feb-1996
Palmetto (1998),20-Feb-1998
That Darn Cat! (1965),01-Jan-1965
Lady of Burlesque (1943),01-Jan-1943
"Underneath, The (1995)",01-Jan-1995
"Woman in Question, The (1950)",01-Jan-1950
MURDER and murder (1996),20-Jun-1997
