Twelve Monkeys (1995),01-Jan-1995
"Net, The (1995)",01-Jan-1995
Strange Days (1995),01-Jan-1995
Star Wars (1977),01-Jan-1977
Stargate (1994),01-Jan-1994
Jurassic Park (1993),01-Jan-1993
Robert A. Heinlein's The Puppet Masters (1994),01-Jan-1994
Blade Runner (1982),01-Jan-1982
Terminator 2: Judgment Day (1991),01-Jan-1991
Heavy Metal (1981),08-Mar-1981
Mystery Science Theater 3000: The Movie (1996),19-Apr-1996
Independence Day (ID4) (1996),03-Jul-1996
2001: A Space Odyssey (1968),01-Jan-1968
"20,000 Leagues Under the Sea (1954)",01-Jan-1954
"Lawnmower Man, The (1992)",01-Jan-1992
Sleeper (1973),01-Jan-1973
"Abyss, The (1989)",01-Jan-1989
Delicatessen (1991),01-Jan-1991
"Empire Strikes Back, The (1980)",01-Jan-1980
Brazil (1985),01-Jan-1985
Aliens (1986),01-Jan-1986
"Clockwork Orange, A (1971)",01-Jan-1971
Return of the Jedi (1983),14-Mar-1997
Alien (1979),01-Jan-1979
Army of Darkness (1993),01-Jan-1993
"Terminator, The (1984)",01-Jan-1984
Back to the Future (1985),01-Jan-1985
Akira (1988),01-Jan-1988
Star Trek: First Contact (1996),22-Nov-1996
Star Trek VI: The Undiscovered Country (1991),01-Jan-1991
Star Trek: The Wrath of Khan (1982),01-Jan-1982
Star Trek III: The Search for Spock (1984),01-Jan-1984
Star Trek IV: The Voyage Home (1986),01-Jan-1986
Mars Attacks! (1996),13-Dec-1996
Sneakers (1992),01-Jan-1992
"Fifth Element, The (1997)",09-May-1997
"Lost World: Jurassic Park, The (1997)",23-May-1997
Men in Black (1997),04-Jul-1997
Contact (1997),11-Jul-1997
Event Horizon (1997),01-Jan-1997
Mimic (1997),22-Aug-1997
Gattaca (1997),01-Jan-1997
Starship Troopers (1997),01-Jan-1997
Face/Off (1997),27-Jun-1997
Alien: Resurrection (1997),01-Jan-1997
Deep Rising (1998),30-Jan-1998
Sphere (1998),13-Feb-1998
Spawn (1997),01-Aug-1997
Judge Dredd (1995),01-Jan-1995
Star Trek: Generations (1994),01-Jan-1994
Super Mario Bros. (1993),01-Jan-1993
"Nutty Professor, The (1996)",28-Jun-1996
E.T. the Extra-Terrestrial (1982),01-Jan-1982
"Transformers: The Movie, The (1986)",01-Jan-1986
"Day the Earth Stood Still, The (1951)",01-Jan-1951
Forbidden Planet (1956),01-Jan-1956
"Blob, The (1958)",01-Jan-1958
Star Trek: The Motion Picture (1979),01-Jan-1979
Star Trek V: The Final Frontier (1989),01-Jan-1989
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),01-Jan-1963
Species (1995),01-Jan-1995
"Kid in King Arthur's Court, A (1995)",01-Jan-1995
Body Snatchers (1993),01-Jan-1993
Coneheads (1993),01-Jan-1993
Demolition Man (1993),01-Jan-1993
Hellraiser: Bloodline (1996),08-Mar-1996
Night of the Living Dead (1968),01-Jan-1968
Escape from New York (1981),01-Jan-1981
Alien 3 (1992),01-Jan-1992
Body Snatchers (1993),01-Jan-1993
Dark City (1998),09-Jan-1998
Junior (1994),01-Jan-1994
Jumanji (1995),01-Jan-1995
Lawnmower Man 2: Beyond Cyberspace (1996),01-Jan-1996
Screamers (1995),01-Jan-1995
Congo (1995),01-Jan-1995
Johnny Mnemonic (1995),01-Jan-1995
Timecop (1994),01-Jan-1994
"Arrival, The (1996)",31-May-1996
Escape from L.A. (1996),09-Aug-1996
Time Tracers (1995),01-Jan-1995
Lost in Space (1998),27-Mar-1998
"City of Lost Children, The (1995)",01-Jan-1995
Unforgettable (1996),23-Feb-1996
"Island of Dr. Moreau, The (1996)",23-Aug-1996
Solo (1996),23-Aug-1996
Until the End of the World (Bis ans Ende der Welt) (1991),01-Jan-1991
Tank Girl (1995),01-Jan-1995
Alphaville (1965),01-Jan-1965
Stalker (1979),01-Jan-1979
Virtuosity (1995),01-Jan-1995
Barb Wire (1996),03-May-1996
Ghost in the Shell (Kokaku kidotai) (1995),12-Apr-1996
Robocop 3 (1993),01-Jan-1993
Star Kid (1997),16-Jan-1998
Tetsuo II: Body Hammer (1992),20-Jun-1997
Barbarella (1968),01-Jan-1968
No Escape (1994),01-Jan-1994
Highlander III: The Sorcerer (1994),01-Jan-1994
"Visitors, The (Visiteurs, Les) (1993)",19-Jul-1996
Nemesis 2: Nebula (1995),01-Jan-1995
