Legends of the Fall (1994),01-Jan-1994
Maverick (1994),01-Jan-1994
Dances with Wolves (1990),01-Jan-1990
"Good, The Bad and The Ugly, The (1966)",01-Jan-1966
Unforgiven (1992),01-Jan-1992
Young Guns (1988),01-Jan-1988
"Apple Dumpling Gang, The (1975)",01-Jan-1975
Butch Cassidy and the Sundance Kid (1969),01-Jan-1969
Tombstone (1993),01-Jan-1993
"Magnificent Seven, The (1954)",01-Jan-1954
Wild Bill (1995),01-Jan-1995
"Quick and the Dead, The (1995)",01-Jan-1995
Wyatt Earp (1994),01-Jan-1994
City Slickers II: The Legend of Curly's Gold (1994),01-Jan-1994
"Wild Bunch, The (1969)",01-Jan-1969
"Davy Crockett, King of the Wild Frontier (1955)",01-Jan-1955
Once Upon a Time in the West (1969),01-Jan-1969
High Noon (1952),01-Jan-1952
Last Man Standing (1996),20-Sep-1996
Dead Man (1995),10-May-1996
Lightning Jack (1994),01-Jan-1994
Geronimo: An American Legend (1993),01-Jan-1993
Young Guns II (1990),01-Jan-1990
Bad Girls (1994),01-Jan-1994
Angel and the Badman (1947),01-Jan-1947
"Outlaw, The (1943)",01-Jan-1943
Terror in a Texas Town (1958),01-Jan-1958
